form_no,point_no,subject,kpi_objective,uom,weight_percent,source_data,target,actual,calc_type,manual_score
DEMO-KPI-202607-001,1,Output,Achievement output MGMT sesuai rencana bulanan,%,25,Daily Production / Department Report,100,89,HIGHER_BETTER,
DEMO-KPI-202607-001,2,Quality,Menjaga defect rate area MGMT di bawah target,%,20,QA Defect Monitoring,2,1.1,LOWER_BETTER,
DEMO-KPI-202607-001,3,Delivery,Ketepatan penyelesaian aktivitas MGMT,%,20,Schedule vs Actual Report,98,91,HIGHER_BETTER,
DEMO-KPI-202607-001,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MGMT",%,20,Safety Patrol / 5S Audit,100,97,HIGHER_BETTER,
DEMO-KPI-202607-001,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MGMT,Score,15,Leader Assessment,,,MANUAL_SCORE,79
DEMO-KPI-202607-002,1,Output,Achievement output MGMT sesuai rencana bulanan,%,25,Daily Production / Department Report,100,96,HIGHER_BETTER,
DEMO-KPI-202607-002,2,Quality,Menjaga defect rate area MGMT di bawah target,%,20,QA Defect Monitoring,2,1.6,LOWER_BETTER,
DEMO-KPI-202607-002,3,Delivery,Ketepatan penyelesaian aktivitas MGMT,%,20,Schedule vs Actual Report,98,94,HIGHER_BETTER,
DEMO-KPI-202607-002,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MGMT",%,20,Safety Patrol / 5S Audit,100,93,HIGHER_BETTER,
DEMO-KPI-202607-002,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MGMT,Score,15,Leader Assessment,,,MANUAL_SCORE,83
DEMO-KPI-202607-003,1,Output,Achievement output MGMT sesuai rencana bulanan,%,25,Daily Production / Department Report,100,103,HIGHER_BETTER,
DEMO-KPI-202607-003,2,Quality,Menjaga defect rate area MGMT di bawah target,%,20,QA Defect Monitoring,2,2.1,LOWER_BETTER,
DEMO-KPI-202607-003,3,Delivery,Ketepatan penyelesaian aktivitas MGMT,%,20,Schedule vs Actual Report,98,97,HIGHER_BETTER,
DEMO-KPI-202607-003,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MGMT",%,20,Safety Patrol / 5S Audit,100,98,HIGHER_BETTER,
DEMO-KPI-202607-003,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MGMT,Score,15,Leader Assessment,,,MANUAL_SCORE,87
DEMO-KPI-202607-004,1,Output,Achievement output MGMT sesuai rencana bulanan,%,25,Daily Production / Department Report,100,86,HIGHER_BETTER,
DEMO-KPI-202607-004,2,Quality,Menjaga defect rate area MGMT di bawah target,%,20,QA Defect Monitoring,2,2.6,LOWER_BETTER,
DEMO-KPI-202607-004,3,Delivery,Ketepatan penyelesaian aktivitas MGMT,%,20,Schedule vs Actual Report,98,100,HIGHER_BETTER,
DEMO-KPI-202607-004,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MGMT",%,20,Safety Patrol / 5S Audit,100,94,HIGHER_BETTER,
DEMO-KPI-202607-004,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MGMT,Score,15,Leader Assessment,,,MANUAL_SCORE,91
DEMO-KPI-202607-005,1,Output,Achievement output MGMT sesuai rencana bulanan,%,25,Daily Production / Department Report,100,93,HIGHER_BETTER,
DEMO-KPI-202607-005,2,Quality,Menjaga defect rate area MGMT di bawah target,%,20,QA Defect Monitoring,2,3.1,LOWER_BETTER,
DEMO-KPI-202607-005,3,Delivery,Ketepatan penyelesaian aktivitas MGMT,%,20,Schedule vs Actual Report,98,90,HIGHER_BETTER,
DEMO-KPI-202607-005,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MGMT",%,20,Safety Patrol / 5S Audit,100,99,HIGHER_BETTER,
DEMO-KPI-202607-005,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MGMT,Score,15,Leader Assessment,,,MANUAL_SCORE,95
DEMO-KPI-202607-006,1,Output,Achievement output PPC sesuai rencana bulanan,%,25,Daily Production / Department Report,100,100,HIGHER_BETTER,
DEMO-KPI-202607-006,2,Quality,Menjaga defect rate area PPC di bawah target,%,20,QA Defect Monitoring,2,3.6,LOWER_BETTER,
DEMO-KPI-202607-006,3,Delivery,Ketepatan penyelesaian aktivitas PPC,%,20,Schedule vs Actual Report,98,93,HIGHER_BETTER,
DEMO-KPI-202607-006,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PPC",%,20,Safety Patrol / 5S Audit,100,95,HIGHER_BETTER,
DEMO-KPI-202607-006,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PPC,Score,15,Leader Assessment,,,MANUAL_SCORE,99
DEMO-KPI-202607-007,1,Output,Achievement output PPC sesuai rencana bulanan,%,25,Daily Production / Department Report,100,83,HIGHER_BETTER,
DEMO-KPI-202607-007,2,Quality,Menjaga defect rate area PPC di bawah target,%,20,QA Defect Monitoring,2,4.1,LOWER_BETTER,
DEMO-KPI-202607-007,3,Delivery,Ketepatan penyelesaian aktivitas PPC,%,20,Schedule vs Actual Report,98,96,HIGHER_BETTER,
DEMO-KPI-202607-007,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PPC",%,20,Safety Patrol / 5S Audit,100,100,HIGHER_BETTER,
DEMO-KPI-202607-007,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PPC,Score,15,Leader Assessment,,,MANUAL_SCORE,77
DEMO-KPI-202607-008,1,Output,Achievement output PPC sesuai rencana bulanan,%,25,Daily Production / Department Report,100,90,HIGHER_BETTER,
DEMO-KPI-202607-008,2,Quality,Menjaga defect rate area PPC di bawah target,%,20,QA Defect Monitoring,2,0.7,LOWER_BETTER,
DEMO-KPI-202607-008,3,Delivery,Ketepatan penyelesaian aktivitas PPC,%,20,Schedule vs Actual Report,98,99,HIGHER_BETTER,
DEMO-KPI-202607-008,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PPC",%,20,Safety Patrol / 5S Audit,100,96,HIGHER_BETTER,
DEMO-KPI-202607-008,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PPC,Score,15,Leader Assessment,,,MANUAL_SCORE,81
DEMO-KPI-202607-009,1,Output,Achievement output PPC sesuai rencana bulanan,%,25,Daily Production / Department Report,100,97,HIGHER_BETTER,
DEMO-KPI-202607-009,2,Quality,Menjaga defect rate area PPC di bawah target,%,20,QA Defect Monitoring,2,1.2,LOWER_BETTER,
DEMO-KPI-202607-009,3,Delivery,Ketepatan penyelesaian aktivitas PPC,%,20,Schedule vs Actual Report,98,89,HIGHER_BETTER,
DEMO-KPI-202607-009,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PPC",%,20,Safety Patrol / 5S Audit,100,92,HIGHER_BETTER,
DEMO-KPI-202607-009,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PPC,Score,15,Leader Assessment,,,MANUAL_SCORE,85
DEMO-KPI-202607-010,1,Output,Achievement output PPC sesuai rencana bulanan,%,25,Daily Production / Department Report,100,104,HIGHER_BETTER,
DEMO-KPI-202607-010,2,Quality,Menjaga defect rate area PPC di bawah target,%,20,QA Defect Monitoring,2,1.7,LOWER_BETTER,
DEMO-KPI-202607-010,3,Delivery,Ketepatan penyelesaian aktivitas PPC,%,20,Schedule vs Actual Report,98,92,HIGHER_BETTER,
DEMO-KPI-202607-010,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PPC",%,20,Safety Patrol / 5S Audit,100,97,HIGHER_BETTER,
DEMO-KPI-202607-010,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PPC,Score,15,Leader Assessment,,,MANUAL_SCORE,89
DEMO-KPI-202607-011,1,Output,Achievement output PROD sesuai rencana bulanan,%,25,Daily Production / Department Report,100,87,HIGHER_BETTER,
DEMO-KPI-202607-011,2,Quality,Menjaga defect rate area PROD di bawah target,%,20,QA Defect Monitoring,2,2.2,LOWER_BETTER,
DEMO-KPI-202607-011,3,Delivery,Ketepatan penyelesaian aktivitas PROD,%,20,Schedule vs Actual Report,98,95,HIGHER_BETTER,
DEMO-KPI-202607-011,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PROD",%,20,Safety Patrol / 5S Audit,100,93,HIGHER_BETTER,
DEMO-KPI-202607-011,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PROD,Score,15,Leader Assessment,,,MANUAL_SCORE,93
DEMO-KPI-202607-012,1,Output,Achievement output PROD sesuai rencana bulanan,%,25,Daily Production / Department Report,100,94,HIGHER_BETTER,
DEMO-KPI-202607-012,2,Quality,Menjaga defect rate area PROD di bawah target,%,20,QA Defect Monitoring,2,2.7,LOWER_BETTER,
DEMO-KPI-202607-012,3,Delivery,Ketepatan penyelesaian aktivitas PROD,%,20,Schedule vs Actual Report,98,98,HIGHER_BETTER,
DEMO-KPI-202607-012,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PROD",%,20,Safety Patrol / 5S Audit,100,98,HIGHER_BETTER,
DEMO-KPI-202607-012,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PROD,Score,15,Leader Assessment,,,MANUAL_SCORE,97
DEMO-KPI-202607-013,1,Output,Achievement output PROD sesuai rencana bulanan,%,25,Daily Production / Department Report,100,101,HIGHER_BETTER,
DEMO-KPI-202607-013,2,Quality,Menjaga defect rate area PROD di bawah target,%,20,QA Defect Monitoring,2,3.2,LOWER_BETTER,
DEMO-KPI-202607-013,3,Delivery,Ketepatan penyelesaian aktivitas PROD,%,20,Schedule vs Actual Report,98,88,HIGHER_BETTER,
DEMO-KPI-202607-013,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PROD",%,20,Safety Patrol / 5S Audit,100,94,HIGHER_BETTER,
DEMO-KPI-202607-013,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PROD,Score,15,Leader Assessment,,,MANUAL_SCORE,75
DEMO-KPI-202607-014,1,Output,Achievement output PROD sesuai rencana bulanan,%,25,Daily Production / Department Report,100,84,HIGHER_BETTER,
DEMO-KPI-202607-014,2,Quality,Menjaga defect rate area PROD di bawah target,%,20,QA Defect Monitoring,2,3.7,LOWER_BETTER,
DEMO-KPI-202607-014,3,Delivery,Ketepatan penyelesaian aktivitas PROD,%,20,Schedule vs Actual Report,98,91,HIGHER_BETTER,
DEMO-KPI-202607-014,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PROD",%,20,Safety Patrol / 5S Audit,100,99,HIGHER_BETTER,
DEMO-KPI-202607-014,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PROD,Score,15,Leader Assessment,,,MANUAL_SCORE,79
DEMO-KPI-202607-015,1,Output,Achievement output PROD sesuai rencana bulanan,%,25,Daily Production / Department Report,100,91,HIGHER_BETTER,
DEMO-KPI-202607-015,2,Quality,Menjaga defect rate area PROD di bawah target,%,20,QA Defect Monitoring,2,4.2,LOWER_BETTER,
DEMO-KPI-202607-015,3,Delivery,Ketepatan penyelesaian aktivitas PROD,%,20,Schedule vs Actual Report,98,94,HIGHER_BETTER,
DEMO-KPI-202607-015,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PROD",%,20,Safety Patrol / 5S Audit,100,95,HIGHER_BETTER,
DEMO-KPI-202607-015,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PROD,Score,15,Leader Assessment,,,MANUAL_SCORE,83
DEMO-KPI-202607-016,1,Output,Achievement output QA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,98,HIGHER_BETTER,
DEMO-KPI-202607-016,2,Quality,Menjaga defect rate area QA di bawah target,%,20,QA Defect Monitoring,2,0.8,LOWER_BETTER,
DEMO-KPI-202607-016,3,Delivery,Ketepatan penyelesaian aktivitas QA,%,20,Schedule vs Actual Report,98,97,HIGHER_BETTER,
DEMO-KPI-202607-016,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S QA",%,20,Safety Patrol / 5S Audit,100,100,HIGHER_BETTER,
DEMO-KPI-202607-016,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja QA,Score,15,Leader Assessment,,,MANUAL_SCORE,87
DEMO-KPI-202607-017,1,Output,Achievement output QA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,105,HIGHER_BETTER,
DEMO-KPI-202607-017,2,Quality,Menjaga defect rate area QA di bawah target,%,20,QA Defect Monitoring,2,1.3,LOWER_BETTER,
DEMO-KPI-202607-017,3,Delivery,Ketepatan penyelesaian aktivitas QA,%,20,Schedule vs Actual Report,98,100,HIGHER_BETTER,
DEMO-KPI-202607-017,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S QA",%,20,Safety Patrol / 5S Audit,100,96,HIGHER_BETTER,
DEMO-KPI-202607-017,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja QA,Score,15,Leader Assessment,,,MANUAL_SCORE,91
DEMO-KPI-202607-018,1,Output,Achievement output QA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,88,HIGHER_BETTER,
DEMO-KPI-202607-018,2,Quality,Menjaga defect rate area QA di bawah target,%,20,QA Defect Monitoring,2,1.8,LOWER_BETTER,
DEMO-KPI-202607-018,3,Delivery,Ketepatan penyelesaian aktivitas QA,%,20,Schedule vs Actual Report,98,90,HIGHER_BETTER,
DEMO-KPI-202607-018,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S QA",%,20,Safety Patrol / 5S Audit,100,92,HIGHER_BETTER,
DEMO-KPI-202607-018,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja QA,Score,15,Leader Assessment,,,MANUAL_SCORE,95
DEMO-KPI-202607-019,1,Output,Achievement output QA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,95,HIGHER_BETTER,
DEMO-KPI-202607-019,2,Quality,Menjaga defect rate area QA di bawah target,%,20,QA Defect Monitoring,2,2.3,LOWER_BETTER,
DEMO-KPI-202607-019,3,Delivery,Ketepatan penyelesaian aktivitas QA,%,20,Schedule vs Actual Report,98,93,HIGHER_BETTER,
